	gene_id	A3_con1-A3_con2_dPSI	A3_con1-A3_con2_p-val
IFRD1	ENSG00000006652	ENSG00000006652;A3:7:112462378-112465615:112462378-112465639:+	0.2308079984	0.002997003
TYMP	ENSG00000025708	ENSG00000025708;A3:22:50527328-50527588:50527283-50527588:-	-0.4102915879	0.047952048
CHPF2	ENSG00000033100	ENSG00000033100;A3:7:151235612-151236408:151235612-151237374:+	-0.0957361734	0.0294705295
MTA3	ENSG00000057935	ENSG00000057935;A3:2:42704318-42707903:42704318-42707911:+	0.081013509	0.013986014
NHERF2	ENSG00000065054	ENSG00000065054;A3:16:2037600-2037826:2037600-2037859:+	-0.0734051725	0.0494505495
ACSL4	ENSG00000068366	ENSG00000068366;A3:X:109683666-109696144:109683375-109696144:-	0.1679041668	0.035964036
ACSL4	ENSG00000068366	ENSG00000068366;A3:X:109683666-109733139:109683375-109733139:-	0.2417564246	0.0404595405
TCF3	ENSG00000071564	ENSG00000071564;A3:19:1611369-1611704:1609599-1611704:-	-0.095993807	0.043956044
TCF3	ENSG00000071564	ENSG00000071564;A3:19:1611369-1611704:1610500-1611704:-	-0.0845371598	0.043956044
PDCD2	ENSG00000071994	ENSG00000071994;A3:6:170583747-170584299:170583623-170584299:-	-0.0653141002	0.0094905095
SELENOO	ENSG00000073169	ENSG00000073169;A3:22:50206520-50208488:50206520-50208536:+	0.0921336531	0.023976024
SLC25A40	ENSG00000075303	ENSG00000075303;A3:7:87856389-87858631:87856351-87858631:-	-0.1151076051	0.0294705295
LIPE	ENSG00000079435	ENSG00000079435;A3:19:42403055-42405385:42403031-42405385:-	-0.1516280036	0.046953047
EXD2	ENSG00000081177	ENSG00000081177;A3:14:69230598-69234700:69230598-69234774:+	-0.0658385984	0.02997003
NFE2L1	ENSG00000082641	ENSG00000082641;A3:17:48054761-48056386:48054761-48056419:+	-0.4748183623	0.002997003
OGFOD1	ENSG00000087263	ENSG00000087263;A3:16:56453408-56458513:56453408-56458548:+	0.0602330465	0.011988012
CLSPN	ENSG00000092853	ENSG00000092853;A3:1:35749811-35751250:35749652-35751250:-	-0.0800042733	0.0394605395
SNRPD3	ENSG00000100028	ENSG00000100028;A3:22:24568176-24571916:24568176-24572018:+	0.1478991238	0.000999001
PATZ1	ENSG00000100105	ENSG00000100105;A3:22:31328924-31335692:31328859-31335692:-	-0.1106212552	0.036963037
MTMR3	ENSG00000100330	ENSG00000100330;A3:22:29971062-29978425:29971062-29978442:+	-0.0780693334	0.0294705295
TXN2	ENSG00000100348	ENSG00000100348;A3:22:36480787-36481564:36480748-36481564:-	0.2686945814	0.0344655345
CGRRF1	ENSG00000100532	ENSG00000100532;A3:14:54537829-54538063:54537829-54538118:+	-0.1423331735	0.005994006
ADNP	ENSG00000101126	ENSG00000101126;A3:20:50894512-50902017:50889957-50902017:-	0.0739963589	0.0344655345
CSNK2A1	ENSG00000101266	ENSG00000101266;A3:20:508621-543672:508605-543672:-	0.1439397631	0.006993007
CSNK2A1	ENSG00000101266	ENSG00000101266;A3:20:508660-543672:508621-543672:-	-0.093106759	0.006993007
CRNKL1	ENSG00000101343	ENSG00000101343;A3:20:20037571-20038349:20037534-20038349:-	0.0931245334	0.013986014
ALG13	ENSG00000101901	ENSG00000101901;A3:X:111681826-111682132:111681826-111682236:+	0.1972442616	0.023976024
MTHFSD	ENSG00000103248	ENSG00000103248;A3:16:86554751-86555169:86554748-86555169:-	0.1518418391	0.0444555445
ANTKMT	ENSG00000103254	ENSG00000103254;A3:16:721941-722084:721941-722309:+	-0.1634738133	0.0224775225
HERC1	ENSG00000103657	ENSG00000103657;A3:15:63675117-63677845:63675093-63677845:-	0.0659037773	0.0344655345
ATP13A1	ENSG00000105726	ENSG00000105726;A3:19:19654144-19654543:19654074-19654543:-	-0.0839152784	0.0124875125
SP4	ENSG00000105866	ENSG00000105866;A3:7:21428258-21428677:21428258-21428682:+	-0.1257905089	0.047952048
CAV1	ENSG00000105974	ENSG00000105974;A3:7:116525092-116526525:116525092-116526558:+	0.0909318028	0.0154845155
TSPAN14	ENSG00000108219	ENSG00000108219;A3:10:80454371-80468547:80454371-80468582:+	-0.145307802	0.010989011
WSB1	ENSG00000109046	ENSG00000109046;A3:17:27306882-27307744:27306882-27309100:+	0.0886876224	0.00999001
UBE2D3	ENSG00000109332	ENSG00000109332;A3:4:102826844-102827427:102826636-102827427:-	-0.0908387416	0.008991009
RNF8	ENSG00000112130	ENSG00000112130;A3:6:37360574-37368378:37360574-37368484:+	-0.058502605	0.0224775225
GNPDA1	ENSG00000113552	ENSG00000113552;A3:5:142012377-142012995:142012339-142012995:-	-0.2343212313	0.010989011
TFDP2	ENSG00000114126	ENSG00000114126;A3:3:141974194-141978520:141974191-141978520:-	0.0548641855	0.0164835165
RIMS3	ENSG00000117016	ENSG00000117016;A3:1:40647842-40665394:40647762-40665394:-	0.0546095158	0.028971029
GPR89A	ENSG00000117262	ENSG00000117262;A3:1:145623160-145623593:145623160-145623613:+	-0.0847189809	0.037962038
RSRP1	ENSG00000117616	ENSG00000117616;A3:1:25244224-25245150:25243633-25245150:-	0.19822987	0.015984016
CA14	ENSG00000118298	ENSG00000118298;A3:1:150263419-150263659:150263419-150263662:+	0.0725463492	0.0404595405
FBXL5	ENSG00000118564	ENSG00000118564;A3:4:15644708-15655204:15644657-15655204:-	-0.0655556719	0.028971029
SLIRP	ENSG00000119705	ENSG00000119705;A3:14:77715879-77717480:77715879-77717502:+	-0.11780719	0.0314685315
ATL2	ENSG00000119787	ENSG00000119787;A3:2:38296590-38298144:38296113-38298144:-	-0.1248990478	0.0094905095
ACVR2A	ENSG00000121989	ENSG00000121989;A3:2:147844706-147896301:147844706-147896364:+	-0.1220639404	0.0094905095
HYCC1	ENSG00000122591	ENSG00000122591;A3:7:22961322-22964415:22961268-22964415:-	-0.0942504798	0.0164835165
HYCC1	ENSG00000122591	ENSG00000122591;A3:7:22978448-22983944:22978404-22983944:-	-0.0895591723	0.0164835165
PFDN5	ENSG00000123349	ENSG00000123349;A3:12:53296275-53297697:53296275-53297703:+	-0.7708551741	0.006993007
MXD4	ENSG00000123933	ENSG00000123933;A3:4:2255351-2257982:2255294-2257982:-	-0.1064238042	0.031968032
SLC12A5	ENSG00000124140	ENSG00000124140;A3:20:46021886-46022843:46021886-46022930:+	0.220416748	0.04995005
CNOT1	ENSG00000125107	ENSG00000125107;A3:16:58546498-58546672:58546414-58546672:-	0.0717618159	0.032967033
PPDPF	ENSG00000125534	ENSG00000125534;A3:20:63520894-63521284:63520894-63521512:+	-0.0635143816	0.0284715285
LRFN3	ENSG00000126243	ENSG00000126243;A3:19:35935782-35936588:35935782-35936751:+	0.3327465396	0.016983017
STYXL1	ENSG00000127952	ENSG00000127952;A3:7:76030527-76047662:76030524-76047662:-	-0.216180049	0.042957043
CCDC32	ENSG00000128891	ENSG00000128891;A3:15:40562206-40562772:40562007-40562772:-	-0.3516157744	0.014985015
ARPP19	ENSG00000128989	ENSG00000128989;A3:15:52568902-52569116:52568900-52569116:-	-0.0991371806	0.002997003
TNNI3	ENSG00000129991	ENSG00000129991;A3:19:55156370-55156603:55156332-55156603:-	0.0661170747	0.0494505495
NSUN5	ENSG00000130305	ENSG00000130305;A3:7:73303529-73303600:73303524-73303600:-	0.1269057438	0.0224775225
GGT7	ENSG00000131067	ENSG00000131067;A3:20:34850197-34851231:34850060-34851231:-	-0.0528639595	0.038961039
CAP1	ENSG00000131236	ENSG00000131236;A3:1:40041493-40059334:40041493-40059337:+	-0.1568342629	0.02997003
SH3BP5	ENSG00000131370	ENSG00000131370;A3:3:15304299-15330504:15304231-15330504:-	0.1069935665	0.0174825175
RAN	ENSG00000132341	ENSG00000132341;A3:12:130872126-130872584:130872126-130872836:+	0.1354036607	0.013986014
SDF2	ENSG00000132581	ENSG00000132581;A3:17:28649276-28655287:28649137-28655287:-	0.0688218402	0.018981019
LOXL2	ENSG00000134013	ENSG00000134013;A3:8:23328586-23333401:23328565-23333401:-	-0.0804993579	0.0214785215
IL6ST	ENSG00000134352	ENSG00000134352;A3:5:55968396-55969550:55968387-55969550:-	0.0944395239	0.0104895105
NTPCR	ENSG00000135778	ENSG00000135778;A3:1:232970118-232976302:232970118-232976342:+	-0.2728534259	0.018981019
EDNRB	ENSG00000136160	ENSG00000136160;A3:13:77898334-77899859:77896558-77899859:-	0.1150268792	0.0184815185
HUS1	ENSG00000136273	ENSG00000136273;A3:7:47978844-47979468:47978816-47979468:-	-0.2914001279	0.005994006
CALCOCO2	ENSG00000136436	ENSG00000136436;A3:17:48831078-48841698:48831078-48841774:+	0.1182274982	0.014985015
ANGPTL2	ENSG00000136859	ENSG00000136859;A3:9:127107106-127107915:127107098-127107915:-	0.3066320118	0.0184815185
PGBD1	ENSG00000137338	ENSG00000137338;A3:6:28281918-28283756:28281918-28283776:+	0.0630480731	0.0474525475
NDUFAF1	ENSG00000137806	ENSG00000137806;A3:15:41397140-41402447:41396959-41402447:-	-0.3316252098	0.003996004
RPS24	ENSG00000138326	ENSG00000138326;A3:10:78037304-78037439:78037304-78037965:+	-0.4030720103	0.00999001
RAP1GDS1	ENSG00000138698	ENSG00000138698;A3:4:98261569-98293405:98261569-98293408:+	-0.0871607517	0.012987013
LMBR1L	ENSG00000139636	ENSG00000139636;A3:12:49101263-49101472:49101213-49101472:-	-0.226688264	0.02997003
LMBR1L	ENSG00000139636	ENSG00000139636;A3:12:49101323-49101472:49101213-49101472:-	-0.2022232832	0.013986014
SRP14	ENSG00000140319	ENSG00000140319;A3:15:40037355-40038282:40037348-40038282:-	-0.0684266336	0.0154845155
SRP14	ENSG00000140319	ENSG00000140319;A3:15:40038948-40039093:40038394-40039093:-	0.1813234284	0.011988012
UTP4	ENSG00000141076	ENSG00000141076;A3:16:69132689-69133458:69132689-69133512:+	-0.0618424357	0.021978022
MRPS5	ENSG00000144029	ENSG00000144029;A3:2:95104730-95106423:95101723-95106423:-	0.2698149147	0.004995005
RPL32	ENSG00000144713	ENSG00000144713;A3:3:12840341-12841494:12840242-12841494:-	-0.0504266889	0.014985015
OGT	ENSG00000147162	ENSG00000147162;A3:X:71533336-71536178:71533336-71536208:+	-0.0628683394	0.025974026
ST18	ENSG00000147488	ENSG00000147488;A3:8:52214290-52217746:52214257-52217746:-	-0.1185282904	0.030969031
EIF3M	ENSG00000149100	ENSG00000149100;A3:11:32583929-32586934:32583929-32587046:+	-0.0574292962	0.0352147852
DOCK1	ENSG00000150760	ENSG00000150760;A3:10:127008804-127012232:127008804-127012295:+	-0.0653957853	0.0304695305
MGAT5	ENSG00000152127	ENSG00000152127;A3:2:134120291-134254262:134120291-134254265:+	0.0741040993	0.017982018
ZNF776	ENSG00000152443	ENSG00000152443;A3:19:57750911-57753274:57750911-57753291:+	-0.1496651954	0.008991009
ABCA5	ENSG00000154265	ENSG00000154265;A3:17:69314603-69327052:69314430-69327052:-	-0.2646164102	0.020979021
