ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
234	ENSG00000289234	ZNF496-DT	chr1	+	247374656	247377221	247375185	247377221	247374006	247374143	234	39,34,26	2,6,0	36,27,26	0,0,0	678	149	2.25336069516e-05	0.00443417416794	0.811,0.555,1.0	1.0,1.0,1.0	-0.211
352	ENSG00000109065	NAT9	chr17	-	74773575	74773688	74773575	74773685	74775598	74775707	352	0,0,1	3,3,3	8,3,7	6,5,6	152	149	3.73263848585e-06	0.00158499617389	0.0,0.0,0.246	0.567,0.37,0.534	-0.408
509	ENSG00000132740	IGHMBP2	chr11	+	68935298	68935422	68935330	68935422	68934463	68934558	509	140,95,97	3,3,0	192,156,83	6,16,5	181	149	0.000420986980608	0.0279549214777	0.975,0.963,1.0	0.963,0.889,0.932	0.051
569	ENSG00000176840	MIR7-3HG	chr19	+	4770528	4770614	4770548	4770614	4770282	4770449	569	11,6,11	0,2,0	5,3,9	2,5,3	169	149	8.28739232738e-05	0.0100545385409	1.0,0.726,1.0	0.688,0.346,0.726	0.322
573	ENSG00000176840	MIR7-3HG	chr19	+	4770523	4770614	4770548	4770614	4770347	4770449	573	11,6,11	0,2,0	3,3,9	2,5,3	174	149	4.14125104417e-05	0.00668232268487	1.0,0.72,1.0	0.562,0.339,0.72	0.366
605	ENSG00000147813	NAPRT	chr8	-	143574784	143575093	143574784	143574900	143575422	143575525	605	62,36,32	1,0,5	39,33,19	7,8,10	342	149	8.61192969934e-05	0.0102934887132	0.964,1.0,0.736	0.708,0.642,0.453	0.299
606	ENSG00000147813	NAPRT	chr8	-	143574784	143575345	143574784	143574900	143575422	143575525	606	268,151,136	1,0,5	207,210,162	7,8,10	594	149	0.000199955698088	0.0176310663626	0.985,1.0,0.872	0.881,0.868,0.803	0.102
734	ENSG00000204147	ASAH2B	chr10	+	50745127	50745274	50745201	50745274	50744696	50744732	734	10,5,10	10,2,0	4,9,10	0,0,0	223	149	5.86612607856e-06	0.00215126841826	0.401,0.626,1.0	1.0,1.0,1.0	-0.324
737	ENSG00000177000	MTHFR	chr1	-	11802880	11803129	11802880	11803126	11805346	11805936	737	19,45,16	1,3,6	17,18,9	8,11,11	152	149	0.000106093048283	0.0113372015039	0.949,0.936,0.723	0.676,0.616,0.445	0.29
963	ENSG00000216937	CCDC7	chr10	+	32728886	32728997	32728931	32728997	32726733	32726832	963	7,1,6	4,0,4	6,3,2	0,0,0	194	149	3.55652096173e-06	0.00155102762807	0.573,1.0,0.535	1.0,1.0,1.0	-0.297
1013	ENSG00000290770	MFSD14CP	chr9	-	96942912	96943154	96942912	96943141	96949554	96949682	1013	43,48,44	2,3,8	79,47,26	0,0,3	162	149	0.000788134264157	0.043853618206	0.952,0.936,0.835	1.0,1.0,0.889	-0.055
