	gene_id	A5_con1-A5_con2_dPSI	A5_con1-A5_con2_p-val
NDUFS1	ENSG00000023228	ENSG00000023228;A5:2:206153682-206159084:206153682-206159096:-	-0.1930274491	0.01998002
POLR1A	ENSG00000068654	ENSG00000068654;A5:2:86030396-86031330:86030396-86031513:-	-0.1854555086	0.021978022
TXLNG	ENSG00000086712	ENSG00000086712;A5:X:16839975-16841428:16839916-16841428:+	-0.1666475695	0.0264735265
BRAP	ENSG00000089234	ENSG00000089234;A5:12:111683307-111685588:111683307-111685711:-	0.1213041938	0.028971029
CDIP1	ENSG00000089486	ENSG00000089486;A5:16:4512947-4513696:4512947-4513816:-	-0.2494245766	0.013986014
DIDO1	ENSG00000101191	ENSG00000101191;A5:20:62914406-62926432:62914406-62926439:-	0.2329079024	0.0084915085
PQBP1	ENSG00000102103	ENSG00000102103;A5:X:48898093-48898492:48898014-48898492:+	-0.1558954786	0.0424575425
ANTKMT	ENSG00000103254	ENSG00000103254;A5:16:722083-722309:721941-722309:+	0.0627560167	0.042957043
ANTKMT	ENSG00000103254	ENSG00000103254;A5:16:722134-722309:722083-722309:+	0.077968419	0.042957043
UBFD1	ENSG00000103353	ENSG00000103353;A5:16:23557767-23557950:23557745-23557950:+	-0.1099566451	0.018981019
PTOV1	ENSG00000104960	ENSG00000104960;A5:19:49851499-49854406:49851208-49854406:+	-0.0936829941	0.044955045
FZR1	ENSG00000105325	ENSG00000105325;A5:19:3534522-3534795:3534513-3534795:+	0.0666111895	0.043956044
ATP1A3	ENSG00000105409	ENSG00000105409;A5:19:41988562-41994011:41988562-41994071:-	-0.0646291313	0.0064935065
WFS1	ENSG00000109501	ENSG00000109501;A5:4:6291367-6291917:6291354-6291917:+	0.1389139325	0.0154845155
MTCH2	ENSG00000109919	ENSG00000109919;A5:11:47639051-47642379:47639051-47642401:-	-0.0587154271	0.0444555445
VPS29	ENSG00000111237	ENSG00000111237;A5:12:110496203-110499457:110496203-110499535:-	-0.0719695674	0.0474525475
STK25	ENSG00000115694	ENSG00000115694;A5:2:241508135-241508443:241508135-241508505:-	-0.144969692	0.033966034
ARHGEF2	ENSG00000116584	ENSG00000116584;A5:1:155948015-155950269:155948015-155950299:-	-0.0551800512	0.0344655345
PMEPA1	ENSG00000124225	ENSG00000124225;A5:20:57659697-57710460:57659697-57710467:-	0.1157002125	0.0384615385
MBOAT7	ENSG00000125505	ENSG00000125505;A5:19:54188511-54189302:54188511-54189338:-	0.1180950815	0.014985015
SLC2A4RG	ENSG00000125520	ENSG00000125520;A5:20:63742615-63742699:63742364-63742699:+	-0.1175498076	0.0414585415
KLC1	ENSG00000126214	ENSG00000126214;A5:14:103662927-103669511:103662921-103669511:+	-0.081446592	0.027972028
ILF3	ENSG00000129351	ENSG00000129351;A5:19:10688114-10688550:10687708-10688550:+	-0.0696756114	0.030969031
PARP2	ENSG00000129484	ENSG00000129484;A5:14:20345126-20345394:20345087-20345394:+	-0.1026215674	0.0184815185
OLFM1	ENSG00000130558	ENSG00000130558;A5:9:135088139-135090195:135087727-135090195:+	-0.0611373159	0.015984016
POPDC3	ENSG00000132429	ENSG00000132429;A5:6:105159819-105161425:105159819-105161796:-	-0.1270172552	0.0254745255
FBXO44	ENSG00000132879	ENSG00000132879;A5:1:11658393-11658533:11658364-11658533:+	-0.0688311588	0.0364635365
CDK5RAP2	ENSG00000136861	ENSG00000136861;A5:9:120403071-120403243:120403071-120403316:-	0.3225498739	0.017982018
SUOX	ENSG00000139531	ENSG00000139531;A5:12:55999590-56002212:55999458-56002212:+	-0.274180614	0.0404595405
ULK3	ENSG00000140474	ENSG00000140474;A5:15:74837435-74837751:74837435-74837757:-	0.1301452473	0.045954046
ZNF711	ENSG00000147180	ENSG00000147180;A5:X:85247188-85247547:85247183-85247547:+	0.1875377421	0.0494505495
RPL29	ENSG00000162244	ENSG00000162244;A5:3:51995469-51995663:51995469-51995779:-	0.1432288176	0.0251748252
RPL29	ENSG00000162244	ENSG00000162244;A5:3:51995469-51995731:51995469-51995769:-	-0.2690625372	0.0316826031
RPL29	ENSG00000162244	ENSG00000162244;A5:3:51995469-51995731:51995469-51995779:-	0.1435322174	0.0251748252
RPL29	ENSG00000162244	ENSG00000162244;A5:3:51995469-51995740:51995469-51995769:-	-0.2222595448	0.0316826031
RPL29	ENSG00000162244	ENSG00000162244;A5:3:51995469-51995740:51995469-51995779:-	0.1434795553	0.0251748252
RPL29	ENSG00000162244	ENSG00000162244;A5:3:51995469-51995765:51995469-51995769:-	-0.2048914159	0.0412087912
RPL29	ENSG00000162244	ENSG00000162244;A5:3:51995469-51995765:51995469-51995779:-	0.1478379711	0.0251748252
RPL29	ENSG00000162244	ENSG00000162244;A5:3:51995469-51995769:51995469-51995779:-	0.1541785175	0.0251748252
RPP14	ENSG00000163684	ENSG00000163684;A5:3:58306651-58310309:58306417-58310309:+	-0.1226508025	0.046953047
WDR82	ENSG00000164091	ENSG00000164091;A5:3:52270809-52278140:52270809-52278201:-	-0.0597542715	0.0414585415
RAD21	ENSG00000164754	ENSG00000164754;A5:8:116866761-116874250:116866761-116874310:-	-0.2145619146	0.0464535465
MID1IP1	ENSG00000165175	ENSG00000165175;A5:X:38804413-38804683:38801487-38804683:+	-0.1243471734	0.0484515485
MAPRE2	ENSG00000166974	ENSG00000166974;A5:18:35041766-35070195:35041661-35070195:+	-0.0946819149	0.020979021
MEI1	ENSG00000167077	ENSG00000167077;A5:22:41795542-41795735:41795452-41795735:+	-0.1733911426	0.0444555445
ATP5MG	ENSG00000167283	ENSG00000167283;A5:11:118401728-118406937:118401717-118406937:+	-0.0547348764	0.013986014
RRM1	ENSG00000167325	ENSG00000167325;A5:11:4119970-4121604:4119928-4121604:+	-0.1267077394	0.0274725275
STX18	ENSG00000168818	ENSG00000168818;A5:4:4459487-4461902:4459487-4461906:-	0.2265959969	0.0384615385
SDC2	ENSG00000169439	ENSG00000169439;A5:8:96494331-96593480:96494043-96593480:+	0.1326651493	0.0264735265
