57	ENSG00000133460	SLC2A11	chr22	+	23877720	23877869	23882458	23882646	23877041	23877171	23882758	23882869	57	97,42,62,39,94,54,44	415,328,321,264,420,461,404	171,96,92,85,84,98,111	467,441,425,433,352,443,399	248	287	5.31177866936e-06	0.00133401527153	0.213,0.129,0.183,0.146,0.206,0.119,0.112	0.298,0.201,0.2,0.185,0.216,0.204,0.244	-0.063
58	ENSG00000133460	SLC2A11	chr22	+	23877720	23877869	23882494	23882646	23877041	23877171	23882758	23882952	58	97,42,62,39,94,54,44	294,214,212,170,273,296,252	171,96,92,85,84,98,111	332,302,276,303,252,325,264	248	251	0.000227260540181	0.0225201436331	0.25,0.166,0.228,0.188,0.258,0.156,0.15	0.343,0.243,0.252,0.221,0.252,0.234,0.299	-0.064
653	ENSG00000161265	U2AF1L4	chr19	-	35744490	35744540	35744625	35744692	35744322	35744421	35745124	35745212	653	190,139,153,147,149,129,148	1,0,0,0,2,0,0	219,103,166,249,171,159,171	0,42,0,4,9,3,25	166	149	6.15063555642e-13	2.43288389434e-09	0.994,1.0,1.0,1.0,0.985,1.0,1.0	1.0,0.688,1.0,0.982,0.945,0.979,0.86	0.075
654	ENSG00000161265	U2AF1L4	chr19	-	35744625	35744692	35745124	35745212	35744490	35744540	35745347	35745442	654	74,81,90,70,83,82,126	1,0,0,0,2,0,1	178,127,113,87,91,90,96	1,29,0,0,19,0,21	187	166	1.6545653736e-12	5.23570666822e-09	0.985,1.0,1.0,1.0,0.974,1.0,0.991	0.994,0.795,1.0,1.0,0.81,1.0,0.802	0.078
798	ENSG00000228486	C2orf92	chr2	+	97666903	97667054	97670589	97670689	97664246	97664472	97671330	97671729	798	3,2,3,4,12,3,0	4,0,4,1,1,1,2	2,5,2,5,3,4,4	0,1,1,0,1,0,2	250	199	0.000207029553373	0.0211645442474	0.374,1.0,0.374,0.761,0.905,0.705,0.0	1.0,0.799,0.614,1.0,0.705,1.0,0.614	-0.23
864	ENSG00000272970	NA	chr3	+	184715030	184716174	184727399	184727580	184712183	184712418	184734034	184734100	864	134,112,119,97,150,66,125	25,14,9,4,4,4,16	132,107,124,153,116,178,119	1,6,7,6,3,4,4	1243	280	7.68823823694e-05	0.010279715948	0.547,0.643,0.749,0.845,0.894,0.788,0.638	0.967,0.801,0.8,0.852,0.897,0.909,0.87	-0.142
1033	ENSG00000224897	POT1-AS1	chr7	+	125080711	125080813	125099403	125099513	125020332	125020413	125116873	125117028	1033	6,2,2,7,1,6,3	2,1,1,4,0,0,4	5,13,3,11,7,0,2	0,1,0,1,0,1,0	201	209	0.00020581037046	0.0211450109183	0.757,0.675,0.675,0.645,1.0,1.0,0.438	1.0,0.931,1.0,0.92,1.0,0.0,1.0	-0.094
1489	ENSG00000235257	ITGA9-AS1	chr3	-	37753928	37754052	37808703	37808880	37749077	37749688	37821013	37821100	1489	58,92,66,60,103,59,79	20,21,18,6,21,6,20	124,87,105,83,62,139,131	2,8,11,9,16,9,25	276	223	0.000375742005388	0.0315663186332	0.701,0.78,0.748,0.89,0.799,0.888,0.761	0.98,0.898,0.885,0.882,0.758,0.926,0.809	-0.082
1555	ENSG00000151849	CENPJ	chr13	-	24886234	24886385	24889315	24889400	24885605	24885670	24892642	24892867	1555	110,58,64,49,81,54,93	23,17,16,19,15,21,37	93,67,65,100,74,74,88	15,12,14,11,11,18,15	184	250	0.000506371535127	0.0393531253465	0.867,0.823,0.845,0.778,0.88,0.777,0.774	0.894,0.884,0.863,0.925,0.901,0.848,0.889	-0.066
1793	ENSG00000229956	ZRANB2-DT	chr1	+	71223056	71223114	71237129	71237386	71091663	71091704	71368054	71368088	1793	0,0,0,0,0,3,1	15,5,9,2,6,3,7	4,1,3,2,4,0,2	8,6,7,10,14,12,6	157	356	1.47847835141e-06	0.000474171982622	0.0,0.0,0.0,0.0,0.0,0.694,0.245	0.531,0.274,0.493,0.312,0.393,0.0,0.43	-0.213
1918	ENSG00000197912	SPG7	chr16	+	89536764	89536948	89540943	89541346	89532462	89532636	89544647	89544772	1918	49,28,36,10,36,49,57	410,222,320,69,394,150,209	13,23,29,16,17,22,67	99,329,266,483,339,351,281	283	502	0.000401350463543	0.0334263347001	0.175,0.183,0.166,0.205,0.139,0.367,0.326	0.189,0.11,0.162,0.055,0.082,0.1,0.297	0.081
1919	ENSG00000197912	SPG7	chr16	+	89536764	89536948	89540943	89541384	89532462	89532636	89544647	89544772	1919	49,28,36,10,36,49,57	472,244,357,76,453,197,259	13,23,29,16,17,22,67	134,399,306,568,405,429,330	283	540	6.60774440318e-05	0.00927938449235	0.165,0.18,0.161,0.201,0.132,0.322,0.296	0.156,0.099,0.153,0.051,0.074,0.089,0.279	0.079
1920	ENSG00000197912	SPG7	chr16	+	89536764	89536948	89540943	89542279	89532462	89532636	89544647	89544772	1920	49,28,36,10,36,49,57	1145,558,1064,255,1250,365,498	13,23,29,16,17,22,67	391,917,878,1469,1162,1076,747	283	1435	0.000212044003548	0.0213309398772	0.178,0.203,0.146,0.166,0.127,0.405,0.367	0.144,0.113,0.143,0.052,0.069,0.094,0.313	0.095
2171	ENSG00000234377	OBI1-AS1	chr13	+	78189607	78189696	78578476	78578663	78054854	78055064	78605300	78605444	2171	3,4,2,2,2,0,5	2,1,11,8,5,3,10	0,1,1,1,0,0,1	2,3,10,15,2,8,8	188	286	3.03845513194e-08	2.03131424356e-05	0.695,0.859,0.217,0.276,0.378,0.0,0.432	0.0,0.336,0.132,0.092,0.0,0.0,0.16	0.305
2172	ENSG00000234377	OBI1-AS1	chr13	+	78189607	78189696	78274252	78274337	78054996	78055064	78605300	78605444	2172	3,4,2,2,2,0,5	1,6,3,3,6,1,8	0,1,1,1,0,0,1	2,3,5,10,1,5,5	188	184	2.65096186114e-08	1.82363124204e-05	0.746,0.395,0.395,0.395,0.246,0.0,0.38	0.0,0.246,0.164,0.089,0.0,0.0,0.164	0.271
2627	ENSG00000079277	MKNK1	chr1	-	46568442	46568498	46572062	46572167	46565040	46565136	46576574	46576654	2627	18,34,23,16,27,66,65	126,104,136,49,184,114,139	22,23,14,19,14,32,16	123,121,107,108,103,179,128	204	155	0.000189161231579	0.0197334659739	0.098,0.199,0.114,0.199,0.1,0.306,0.262	0.12,0.126,0.09,0.118,0.094,0.12,0.087	0.075
2639	ENSG00000079277	MKNK1	chr1	-	46576574	46576654	46580529	46580627	46572062	46572167	46583227	46583329	2639	161,176,133,82,186,131,187	8,35,13,9,10,78,67	156,150,181,161,112,164,148	18,12,8,5,5,21,5	197	179	1.43398496648e-05	0.00292126739995	0.948,0.82,0.903,0.892,0.944,0.604,0.717	0.887,0.919,0.954,0.967,0.953,0.876,0.964	-0.099
2640	ENSG00000079277	MKNK1	chr1	-	46576574	46576654	46583227	46583329	46572062	46572167	46594112	46594280	2640	37,33,23,26,56,25,30	5,25,8,9,9,52,45	38,38,45,65,23,46,37	12,7,4,5,3,19,2	201	179	0.000410644510955	0.0339575825035	0.868,0.54,0.719,0.72,0.847,0.3,0.373	0.738,0.829,0.909,0.92,0.872,0.683,0.943	-0.218
2764	ENSG00000104490	NCALD	chr8	-	101887140	101887227	101915808	101915858	101719251	101719648	102020236	102020289	2764	732,834,205,218,1077,238,510	0,0,87,0,1,100,0	156,668,301,394,610,994,570	306,1,605,184,255,0,258	149	186	4.52579751453e-10	7.16071682749e-07	1.0,1.0,0.746,1.0,0.999,0.748,1.0	0.389,0.999,0.383,0.728,0.749,1.0,0.734	0.216
2771	ENSG00000104490	NCALD	chr8	-	101915808	101915858	102020236	102020289	101719251	101719648	102029009	102029096	2771	55,72,13,11,88,7,28	359,405,79,106,507,101,236	25,44,41,36,73,68,82	39,294,82,168,279,472,243	152	149	9.77082135584e-05	0.0120462806877	0.131,0.148,0.139,0.092,0.145,0.064,0.104	0.386,0.128,0.329,0.174,0.204,0.124,0.249	-0.11
2776	ENSG00000104490	NCALD	chr8	-	101915808	101915858	102020236	102020289	101887140	101887227	102124236	102124331	2776	5,13,1,9,12,2,6	0,1,36,0,0,66,0	11,9,11,2,15,17,12	126,3,282,96,136,0,144	152	149	7.66959401705e-05	0.010279715948	1.0,0.927,0.027,1.0,1.0,0.029,1.0	0.079,0.746,0.037,0.02,0.098,1.0,0.076	0.418
2787	ENSG00000050405	LIMA1	chr12	-	50185389	50185448	50192451	50192564	50181903	50182037	50195829	50195887	2787	51,30,98,55,79,56,47	2,0,2,0,4,1,1	31,84,70,78,67,50,65	1,4,3,10,7,5,3	212	158	2.61233986599e-05	0.0046440945348	0.95,1.0,0.973,1.0,0.936,0.977,0.972	0.959,0.94,0.946,0.853,0.877,0.882,0.942	0.058
2899	ENSG00000179988	PSTK	chr10	+	122986299	122986375	122986868	122986962	122983271	122983470	122987333	122987503	2899	76,79,114,105,62,96,96	16,20,30,46,16,33,23	164,118,102,116,98,95,110	38,20,17,27,21,6,13	175	193	0.000274660124029	0.0250230661174	0.84,0.813,0.807,0.716,0.81,0.762,0.822	0.826,0.867,0.869,0.826,0.837,0.946,0.903	-0.072
3069	ENSG00000251372	LINC00499	chr4	+	138502011	138502121	138521555	138521698	138349717	138349850	138651619	138651800	3069	3,1,6,2,0,2,2	6,3,23,8,7,7,11	3,0,1,0,0,0,3	11,3,6,4,1,5,11	209	242	0.00071121705227	0.048999126091	0.367,0.278,0.232,0.224,0.0,0.249,0.174	0.24,0.0,0.162,0.0,0.0,0.0,0.24	0.126
3215	ENSG00000023041	ZDHHC6	chr10	-	112439505	112439626	112440533	112441812	112438335	112438389	112442191	112442351	3215	413,245,355,303,391,220,271	6,2,3,6,20,2,8	304,360,343,356,335,416,342	0,8,1,2,3,1,1	1378	220	3.74818020932e-06	0.00101085864668	0.917,0.951,0.95,0.89,0.757,0.946,0.844	1.0,0.878,0.982,0.966,0.947,0.985,0.982	-0.069
3346	ENSG00000291129	PPIEL	chr1	-	39529054	39529164	39548861	39548951	39522279	39522505	39559215	39559567	3346	44,0,0,33,0,0,0	82,103,208,143,183,109,169	0,0,0,0,0,0,1	200,102,114,147,147,165,141	189	209	2.49587388534e-08	1.76819626629e-05	0.372,0.0,0.0,0.203,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.008	0.081
3909	ENSG00000258461	NA	chr15	+	42403740	42403777	42408210	42408324	42402123	42403002	42409302	42409380	3909	15,21,32,15,9,23,17	262,187,666,308,313,93,241	12,19,18,26,12,14,10	285,423,468,943,540,237,224	136	213	9.3983375376e-05	0.0118329307576	0.082,0.15,0.07,0.071,0.043,0.279,0.099	0.062,0.066,0.057,0.041,0.034,0.085,0.065	0.055
4160	ENSG00000170919	TPT1-AS1	chr13	+	45383090	45383235	45389734	45389820	45379194	45380001	45391031	45391737	4160	53,38,138,66,84,64,83	31,27,59,54,51,23,27	140,61,87,47,51,78,58	93,64,55,65,48,72,126	244	185	0.000113210336069	0.0134341045296	0.565,0.516,0.639,0.481,0.555,0.678,0.7	0.533,0.42,0.545,0.354,0.446,0.451,0.259	0.161
4335	ENSG00000198208	RPS6KL1	chr14	-	74908849	74908932	74909100	74909190	74907434	74907530	74911247	74911341	4335	9,4,17,18,26,10,20	255,194,253,248,289,209,261	38,37,37,47,17,47,31	278,305,320,273,309,284,295	189	182	1.29954118577e-08	1.1015003915e-05	0.033,0.019,0.061,0.065,0.08,0.044,0.069	0.116,0.105,0.1,0.142,0.05,0.137,0.092	-0.053
4465	ENSG00000138279	ANXA7	chr10	-	73388311	73388414	73396043	73396109	73383576	73383690	73396518	73396583	4465	425,315,253,271,421,260,290	194,175,272,174,243,168,276	304,451,452,448,435,433,531	165,185,183,337,165,193,220	165	202	0.000648806151605	0.0462624286414	0.728,0.688,0.532,0.656,0.68,0.655,0.563	0.693,0.749,0.751,0.619,0.763,0.733,0.747	-0.079
4667	ENSG00000113761	ZNF346	chr5	+	177041777	177041870	177044388	177044533	177041125	177041229	177050702	177050936	4667	143,109,101,68,136,63,112	55,55,56,23,69,43,57	111,150,126,134,109,146,165	90,85,95,81,83,101,121	192	244	0.000545426843392	0.0412248894084	0.768,0.716,0.696,0.79,0.715,0.651,0.714	0.61,0.692,0.628,0.678,0.625,0.648,0.634	0.076
4670	ENSG00000113761	ZNF346	chr5	+	177041777	177041870	177044391	177044533	177041125	177041229	177062057	177062151	4670	146,113,105,72,144,68,116	42,49,45,17,44,32,42	117,154,127,139,115,152,168	79,56,75,62,63,80,93	192	241	0.000368245235248	0.0309913622984	0.814,0.743,0.745,0.842,0.804,0.727,0.776	0.65,0.775,0.68,0.738,0.696,0.705,0.694	0.073
4674	ENSG00000113761	ZNF346	chr5	+	177044388	177044533	177050702	177050936	177022695	177022913	177062057	177062151	4674	45,50,50,18,54,34,48	252,224,208,102,251,240,261	81,65,76,68,67,86,100	224,271,282,253,217,269,275	244	333	2.61890351472e-06	0.000757980940425	0.196,0.234,0.247,0.194,0.227,0.162,0.201	0.33,0.247,0.269,0.268,0.296,0.304,0.332	-0.084
4675	ENSG00000113761	ZNF346	chr5	+	177044388	177044533	177062057	177062151	177022695	177022913	177064511	177064601	4675	45,45,46,18,54,33,47	153,124,103,76,132,124,166	69,64,67,63,63,82,91	161,154,157,150,136,130,158	244	193	0.000245376079418	0.0234409517131	0.189,0.223,0.261,0.158,0.244,0.174,0.183	0.253,0.247,0.252,0.249,0.268,0.333,0.313	-0.069
4677	ENSG00000113761	ZNF346	chr5	+	177044388	177044533	177050702	177050936	177041125	177041229	177062057	177062151	4677	45,50,50,18,56,34,48	252,224,208,102,252,239,261	81,65,80,71,70,86,104	221,271,282,253,217,269,275	244	333	7.99057176537e-07	0.000296312874543	0.196,0.234,0.247,0.194,0.233,0.163,0.201	0.333,0.247,0.279,0.277,0.306,0.304,0.34	-0.088
4678	ENSG00000113761	ZNF346	chr5	+	177044388	177044533	177062057	177062151	177041125	177041229	177064511	177064601	4678	45,45,46,18,56,33,47	153,124,102,76,132,124,165	69,64,71,66,66,82,95	161,153,155,150,135,130,158	244	193	0.000104083658721	0.0127003469019	0.189,0.223,0.263,0.158,0.251,0.174,0.184	0.253,0.249,0.266,0.258,0.279,0.333,0.322	-0.074
4683	ENSG00000113761	ZNF346	chr5	+	177044391	177044533	177050702	177050936	177041125	177041229	177062057	177062151	4683	42,49,45,17,44,32,42	252,224,208,102,252,239,261	79,56,75,62,63,80,93	221,271,282,253,217,269,275	241	333	1.22431178062e-06	0.000409297589849	0.187,0.232,0.23,0.187,0.194,0.156,0.182	0.331,0.222,0.269,0.253,0.286,0.291,0.318	-0.086
4684	ENSG00000113761	ZNF346	chr5	+	177044391	177044533	177062057	177062151	177041125	177041229	177064511	177064966	4684	42,44,41,17,44,31,41	153,124,102,76,132,124,165	67,55,66,57,59,76,84	161,153,155,150,135,130,158	241	193	7.89532674212e-05	0.0105269544703	0.18,0.221,0.244,0.152,0.211,0.167,0.166	0.25,0.224,0.254,0.233,0.259,0.319,0.299	-0.071
