	gene_id	A5_con1-A5_con2_dPSI	A5_con1-A5_con2_p-val
HCCS	ENSG00000004961	ENSG00000004961;A5:X:11111518-11112019:11111460-11112019:+	-0.5	0.0294705295
ATOSB	ENSG00000005238	ENSG00000005238;A5:9:35108737-35115671:35108737-35115805:-	-0.3626294072	0.044955045
RB1CC1	ENSG00000023287	ENSG00000023287;A5:8:52624787-52628032:52624787-52628041:-	-0.1983762951	0.046953047
GNAO1	ENSG00000087258	ENSG00000087258;A5:16:56355081-56356103:56354987-56356103:+	0.2189316056	0.021978022
ATP1A3	ENSG00000105409	ENSG00000105409;A5:19:41988562-41994011:41988562-41994071:-	-0.1701183343	0.047952048
TMEM248	ENSG00000106609	ENSG00000106609;A5:7:66930868-66941848:66930714-66941848:+	0.5293539198	0.025974026
DNM1	ENSG00000106976	ENSG00000106976;A5:9:128253137-128254006:128250940-128254006:+	0.3259567908	0.027972028
TESK1	ENSG00000107140	ENSG00000107140;A5:9:35607409-35607582:35606983-35607582:+	0.5262662849	0.026973027
CPEB3	ENSG00000107864	ENSG00000107864;A5:10:92181019-92192477:92181019-92192546:-	0.2389481747	0.0444555445
RAPGEF2	ENSG00000109756	ENSG00000109756;A5:4:159351181-159352685:159351133-159352685:+	-0.2108421352	0.038961039
OPRM1	ENSG00000112038	ENSG00000112038;A5:6:154087804-154089826:154087785-154089826:+	-0.4819961063	0.0474525475
TXNDC15	ENSG00000113621	ENSG00000113621;A5:5:134874530-134887695:134874483-134887695:+	-0.3009737794	0.028971029
SUPT7L	ENSG00000119760	ENSG00000119760;A5:2:27662281-27663329:27662281-27663515:-	0.2433957742	0.036963037
SNX21	ENSG00000124104	ENSG00000124104;A5:20:45835116-45840639:45835109-45840639:+	0.4003559174	0.042957043
ROMO1	ENSG00000125995	ENSG00000125995;A5:20:35699456-35699633:35699451-35699633:+	-0.2926951675	0.04995005
CHN1	ENSG00000128656	ENSG00000128656;A5:2:174824518-174846309:174824518-174846315:-	-0.2377225941	0.033966034
ICE2	ENSG00000128915	ENSG00000128915;A5:15:60478069-60479003:60478069-60479072:-	0.1740588721	0.0444555445
KRBA1	ENSG00000133619	ENSG00000133619;A5:7:149730713-149731672:149730568-149731672:+	-0.4880324461	0.0334665335
ACRV1	ENSG00000134940	ENSG00000134940;A5:11:125676478-125677797:125676478-125677854:-	0.435339034	0.0424575425
TMED7	ENSG00000134970	ENSG00000134970;A5:5:115620680-115625601:115620680-115625858:-	-0.196272112	0.0474525475
RNF185	ENSG00000138942	ENSG00000138942;A5:22:31197157-31201498:31196990-31201498:+	0.3350052596	0.031968032
SOD1	ENSG00000142168	ENSG00000142168;A5:21:31659841-31663790:31659784-31663790:+	0.2910648941	0.0374625375
RPL11	ENSG00000142676	ENSG00000142676;A5:1:23692060-23692609:23691829-23692609:+	0.2534649651	0.037962038
PRCC	ENSG00000143294	ENSG00000143294;A5:1:156768239-156782282:156767583-156782282:+	-0.2534192686	0.0424575425
DBI	ENSG00000155368	ENSG00000155368;A5:2:119367090-119368188:119367060-119368188:+	-0.2982359612	0.0484515485
ADCY8	ENSG00000155897	ENSG00000155897;A5:8:130951998-130990393:130951998-130990439:-	0.3209271676	0.0464535465
PPP1R35	ENSG00000160813	ENSG00000160813;A5:7:100435533-100435631:100435533-100435848:-	0.3204010256	0.041958042
DNAJB4	ENSG00000162616	ENSG00000162616;A5:1:77979619-78013051:77979293-78013051:+	-0.2717344768	0.03996004
KDM1B	ENSG00000165097	ENSG00000165097;A5:6:18217885-18221909:18217880-18221909:+	0.2266506889	0.02997003
SLC39A13	ENSG00000165915	ENSG00000165915;A5:11:47414909-47415060:47414905-47415060:+	-0.3556993346	0.0454545455
MAPRE2	ENSG00000166974	ENSG00000166974;A5:18:35041766-35070195:35041661-35070195:+	-0.1067640661	0.044955045
NDUFS5	ENSG00000168653	ENSG00000168653;A5:1:39026402-39028723:39026398-39028723:+	0.1879758978	0.0394605395
CLSTN1	ENSG00000171603	ENSG00000171603;A5:1:9730705-9731122:9730705-9731206:-	-0.1658447258	0.042957043
BCLAF3	ENSG00000173681	ENSG00000173681;A5:X:19935898-19937418:19935898-19937505:-	-0.2313533506	0.040959041
C18orf32	ENSG00000177576	ENSG00000177576;A5:18:49483771-49487043:49483771-49487207:-	0.3629916583	0.021978022
COX14	ENSG00000178449	ENSG00000178449;A5:12:50112497-50120036:50112301-50120036:+	0.3315593211	0.0264735265
LINC00174	ENSG00000179406	ENSG00000179406;A5:7:66395569-66395804:66395569-66395879:-	-0.4403386177	0.0284715285
VCF2	ENSG00000182518	ENSG00000182518;A5:X:55146311-55159126:55146311-55159129:-	-0.4803837689	0.023976024
OR1D2	ENSG00000184166	ENSG00000184166;A5:17:3093046-3104099:3093046-3104104:-	0.75	0.004995005
THNSL1	ENSG00000185875	ENSG00000185875;A5:10:25016789-25021742:25016692-25021742:+	1.0	0.0
PTPRT	ENSG00000196090	ENSG00000196090;A5:20:42885932-43189644:42885932-43189646:-	0.3026835424	0.026973027
SVIL	ENSG00000197321	ENSG00000197321;A5:10:29686651-29735751:29686651-29735755:-	-0.3577330539	0.04995005
ZNF181	ENSG00000197841	ENSG00000197841;A5:19:34734360-34734970:34734310-34734970:+	0.666021836	0.025974026
NFKBIL1	ENSG00000204498	ENSG00000204498;A5:6:31557849-31558022:31557804-31558022:+	-0.5	0.036963037
TMEM256	ENSG00000205544	ENSG00000205544;A5:17:7403390-7403627:7403390-7403658:-	0.3893305154	0.0464535465
ALG3	ENSG00000214160	ENSG00000214160;A5:3:184245812-184248745:184245812-184248782:-	-0.3935709209	0.03996004
	ENSG00000228028	ENSG00000228028;A5:3:196250689-196251374:196250662-196251374:+	-0.3417192151	0.0294705295
MIR646HG	ENSG00000228340	ENSG00000228340;A5:20:60378255-60379312:60378220-60379312:+	0.7478639002	0.026973027
LINC01945	ENSG00000236485	ENSG00000236485;A5:2:132037475-132037788:132037475-132038108:-	-0.4616383945	0.034965035
DNAJC3-DT	ENSG00000247400	ENSG00000247400;A5:13:95674668-95675852:95674668-95676145:-	-0.6814347419	0.018981019
KBTBD11-OT1	ENSG00000253696	ENSG00000253696;A5:8:1971518-1971925:1971445-1971925:+	-0.4543164698	0.023976024
	ENSG00000254721	ENSG00000254721;A5:11:70209257-70243680:70209257-70243907:-	0.309836025	0.0484515485
EMSY-DT	ENSG00000255135	ENSG00000255135;A5:11:76441639-76444205:76441639-76444278:-	0.4187819939	0.0344655345
MIR3677HG	ENSG00000260778	ENSG00000260778;A5:16:2268321-2272987:2268265-2272987:+	-0.25	0.0464535465
DIS3L-AS1	ENSG00000261318	ENSG00000261318;A5:15:66279043-66293226:66279043-66293326:-	-0.3912978138	0.0484515485
MAPK8IP3-AS1	ENSG00000261399	ENSG00000261399;A5:16:1713787-1714002:1713787-1714121:-	-0.3315162525	0.0414585415
	ENSG00000267448	ENSG00000267448;A5:19:3297010-3302790:3297010-3302796:-	-0.3711406037	0.018981019
