	gene_id	A5_con1-A5_con2_dPSI	A5_con1-A5_con2_p-val
PPP1R3F	ENSG00000049769	ENSG00000049769;A5:X:49270873-49281406:49269933-49281406:+	-0.1932871733	0.047952048
PTPRN	ENSG00000054356	ENSG00000054356;A5:2:219307842-219308882:219307842-219308978:-	-0.3896263009	0.014985015
TRAM1	ENSG00000067167	ENSG00000067167;A5:8:70600082-70608077:70600082-70608263:-	-0.1476850122	0.027972028
ATP2B1	ENSG00000070961	ENSG00000070961;A5:12:89591295-89598590:89591295-89598592:-	-0.0963690931	0.0494505495
SNCB	ENSG00000074317	ENSG00000074317;A5:5:176629663-176629809:176629663-176629889:-	0.1276209261	0.027972028
CDKL1	ENSG00000100490	ENSG00000100490;A5:14:50396329-50396743:50396329-50396824:-	-0.2763958955	0.017982018
TMEM245	ENSG00000106771	ENSG00000106771;A5:9:109064567-109073248:109064567-109073356:-	0.0938001015	0.0464535465
GABRA4	ENSG00000109158	ENSG00000109158;A5:4:46992946-46993339:46992946-46993407:-	-0.1264068734	0.0314685315
MTCH2	ENSG00000109919	ENSG00000109919;A5:11:47639051-47642379:47639051-47642401:-	-0.0985031554	0.038961039
FXR1	ENSG00000114416	ENSG00000114416;A5:3:180915631-180933334:180915528-180933334:+	-0.3305688985	0.0254745255
CACYBP	ENSG00000116161	ENSG00000116161;A5:1:175004833-175006745:175004814-175006745:+	-0.1245992154	0.013986014
TMEM59	ENSG00000116209	ENSG00000116209;A5:1:54048682-54053000:54048682-54053356:-	-0.1322858445	0.02997003
ALDH6A1	ENSG00000119711	ENSG00000119711;A5:14:74071974-74072203:74071974-74072242:-	-0.0878863621	0.0474525475
ARL1	ENSG00000120805	ENSG00000120805;A5:12:101405981-101407011:101405981-101407378:-	0.3046907482	0.0294705295
USP22	ENSG00000124422	ENSG00000124422;A5:17:21028674-21043321:21028674-21043626:-	0.1021923347	0.035964036
ARPP19	ENSG00000128989	ENSG00000128989;A5:15:52557222-52569112:52557222-52569116:-	0.3156174899	0.014985015
GAMT	ENSG00000130005	ENSG00000130005;A5:19:1399938-1401296:1399938-1401365:-	-0.1487979011	0.044955045
OLFM1	ENSG00000130558	ENSG00000130558;A5:9:135088139-135090195:135087727-135090195:+	-0.0512286113	0.043956044
SPIRE1	ENSG00000134278	ENSG00000134278;A5:18:12635096-12656575:12635096-12656651:-	-0.2862398357	0.041958042
UBQLN1	ENSG00000135018	ENSG00000135018;A5:9:83665145-83666350:83665145-83669185:-	-0.1399757809	0.0324675325
RPS6	ENSG00000137154	ENSG00000137154;A5:9:19379618-19380088:19379618-19380190:-	0.0515761772	0.037962038
FOXK2	ENSG00000141568	ENSG00000141568;A5:17:82559480-82563354:82559447-82563354:+	-0.3092189739	0.027972028
SAE1	ENSG00000142230	ENSG00000142230;A5:19:47131028-47143494:47130858-47143494:+	-0.1278929762	0.0484515485
SAE1	ENSG00000142230	ENSG00000142230;A5:19:47131112-47143494:47131028-47143494:+	0.075886681	0.0484515485
RPL11	ENSG00000142676	ENSG00000142676;A5:1:23692060-23692609:23691829-23692609:+	-0.1179867903	0.0184815185
RPL10	ENSG00000147403	ENSG00000147403;A5:X:154398398-154398497:154398394-154398497:+	-0.1140331723	0.037962038
CNDP1	ENSG00000150656	ENSG00000150656;A5:18:74561018-74562047:74561011-74562047:+	-0.1797709899	0.01998002
NEK7	ENSG00000151414	ENSG00000151414;A5:1:198157276-198232553:198157096-198232553:+	-0.1154600659	0.0464535465
RAB6B	ENSG00000154917	ENSG00000154917;A5:3:133864642-133885535:133864642-133885571:-	0.2364299322	0.0444555445
ARL5A	ENSG00000162980	ENSG00000162980;A5:2:151815199-151828131:151815199-151828389:-	-0.1331925564	0.0344655345
UQCRQ	ENSG00000164405	ENSG00000164405;A5:5:132867035-132867488:132866687-132867488:+	-0.1128865418	0.036963037
GTF2A1	ENSG00000165417	ENSG00000165417;A5:14:81216514-81221144:81216514-81221148:-	-0.3526977571	0.0294705295
ATP5MG	ENSG00000167283	ENSG00000167283;A5:11:118407097-118409000:118406976-118409000:+	0.0979288088	0.04995005
SLC3A2	ENSG00000168003	ENSG00000168003;A5:11:62881758-62881893:62881718-62881893:+	-0.2072876076	0.024975025
POLR2J3	ENSG00000168255	ENSG00000168255;A5:7:102569924-102572443:102569924-102572472:-	0.1002523849	0.048951049
SDC2	ENSG00000169439	ENSG00000169439;A5:8:96494331-96593480:96494043-96593480:+	-0.1369066934	0.048951049
HNRNPF	ENSG00000169813	ENSG00000169813;A5:10:43396590-43409090:43396590-43409131:-	0.1468265063	0.042957043
RPL35A	ENSG00000182899	ENSG00000182899;A5:3:197950299-197950936:197950221-197950936:+	0.077228706	0.0234765235
RPL35A	ENSG00000182899	ENSG00000182899;A5:3:197951328-197954003:197951311-197954003:+	-0.0804258245	0.0234765235
CALM1	ENSG00000198668	ENSG00000198668;A5:14:90399162-90400065:90399087-90400065:+	0.1257369849	0.037962038
PNMA5	ENSG00000198883	ENSG00000198883;A5:X:152991721-152991902:152991721-152991916:-	0.2688848647	0.040959041
C2orf72	ENSG00000204128	ENSG00000204128;A5:2:231038199-231041296:231037661-231041296:+	-0.3166565412	0.024975025
LINC01766	ENSG00000224910	ENSG00000224910;A5:19:35575932-35581852:35575779-35581852:+	0.0788342635	0.0394605395
RDH14	ENSG00000240857	ENSG00000240857;A5:2:18555808-18560180:18555808-18560630:-	-0.193522916	0.0224775225
MALAT1	ENSG00000251562	ENSG00000251562;A5:11:65500814-65506386:65499512-65506386:+	0.1407947729	0.026973027
	ENSG00000270372	ENSG00000270372;A5:9:10948481-10950009:10948481-10950013:-	0.1392673787	0.0164835165
	ENSG00000294889	ENSG00000294889;A5:3:107688050-107698082:107688050-107698126:-	0.3586251138	0.032967033
